(D)1. 下列何者非行政程序法第一條之立法目的？
(D) 解釋性規則及裁量基準，以發布為生效要件

(C)563. 依行政程序法規定，關於法規命令之發布程序，下列敘述何者錯誤？
(A) 刊登於政府公報而發布
(B) 刊登於新聞紙而發布
(C) 刊登於網站而發布
(D) 依法應經上級機關核定者，應於核定後始得發布

(A)564. 依行政程序法規定，法規命令牴觸上級機關命令者，其效力為何？
(A) 無效
(B) 得撤銷
(C) 得補正
(D) 效力未定

(D)565. 依行政程序法第157條及第158條規划，法規命令，下列哪個情形有效？
(A) 牴觸憲法、法律或上級機關之命令者
(B) 無法律之授權而剝奪或限制人民之自由、權利者
(C) 其訂定依法應經其他機關核准而未經核准者
(D) 數機關會同訂定之法規命令，依法經上級機關或共同上級機關核定者，應於核定後始得會銜發布

(D)566. 依行政程序法第158條第1項規定，法規命令無效之情形，不包括何種情形？
(A) 牴觸憲法
(B) 無法律授權而限制人民權利
(C) 應經其他機關核准而未經核准者
(D) 牴觸地方規章

(B)567. 下列有關法規命令無效之敘述，何者錯誤？
(A) 抵觸憲法'法律或上級機關之命令者
(B) 經法律授權而剝奪人民之自由、權利者
(C) 訂定依法應經其他機關核准，而未經核准者
(D) 法規命令一部分無效者，其他部分仍為有效。但除去該無效部份，法規命令顯失規範目的者，全部無效

(B)568. 依行政程序法第一百五十八條之規定，法規命令牴觸憲法、法律或上級機關之命令者，其效力為何？
(A) 有效
(B) 無效
(C) 效力未定
(D) 得撤銷

(D)569. 依行政程序法規定，關於法規命令之敘述，下列何者正確？
(A) 行政機關訂定法規命令時一，除依法應舉行聽證者外，得依職權或依人民之申請舉行聽證
(B) 法規命令依法應經上級機關核定者，應於發布後送上級機關核定，始生效力
(C) 人民提議訂定法規命令者，得以言詞向行政機關敘明訂定之目的、依據及理由，並附具相關資料
(D) 法規命令之一部分無效者，如除去該無效部分，法規命令顯失規範目的者，全部無效

(D)570. 依行政程序法規定，下列敘述何者正確？
(A) 行政機關訂定法規命令，應依職權或依人民申請舉行聽證
(B) 法規命令之訂定，僅得由人民提議為之；行政規則之訂定，僅得由行政機關自行草擬
(C) 行政規則之廢止，由原發布機關為之，原則上毋須下達下級機關或屬官
(D) 法規命令之一部分規定無效者，其他部分以有效為原則

(D)571. 有關法規命令與行政規則，下列敘述何者錯誤？
(A) 法規命令應有法律明確授權；行政規則原則上無須法律特別授權
(B) 法規命令須經發布始生效力；行政規則以下達為生效方法
(C) 法規命令訂定前應將草案公告；行政規則無須踐行此程序
(D) 法規命令為一般抽象規定；行政規則為具體指示

(B)572. 下列何者不屬於行政程序法明文規定之法規命令無效之事由？
(A) 牴觸上級機關之命令
(B) 訂定法規命令，依法應舉行聽證而未舉行
(C) 無法律之授權而剝奪或限制人民之自由、權利
(D) 其訂定依法應經其他機關核准，而未經核准

(A)573. 依行政程序法規定，法規命令牴觸上級機關命令者，其效力為何？
(A) 無效
(B) 得撤銷
(C) 得補正
(D) 效力未定

(B)574. 依行政程序法之規定，上級機關對下級機關，或長官對屬官，依其權限或職權為規範機關內部秩序及運作，所為非直接對外發生法規範效力之一般、抽象規定者，屬下列何者行政行為？
(A) 行政命令
(B) 行政規則
(C) 行政處分
(D) 行政指導

(B)575. 上級機關對下級機關，或長官對屬官，依其權限或職權為規範機關內部秩序及運作，所為非直接對外發生法規範效力之一般、抽象之規定，此稱為：
(A) 法規命令
(B) 行政規則
(C) 行政指導
(D) 自治規則

(C)576. 設某丁為某政府機關新進人員，她在受訓時所看到之機關內部處務規程，其性質為下列何者？
(A) 法規命令
(B) 行政指導
(C) 行政規則
(D) 行政處分

(D)577. 行政機關行使裁量權時，下列敘述何者錯誤？
(A) 行政機關為協助下級機關或屬官行使裁量權，得訂定裁量基準
(B) 裁量應符合法規授權之目的
(C) 裁量權係針對法律效果之選擇
(D) 裁量逾越法定裁量權範圍僅屬不當之行政行為

(D)578. 有關行政程序法中「法規命令」與「行政規則」區別之說明>下列何者錯誤？
(A) 法規命令乃對外關係所為抽象規定；行政規則原則上乃對內關係之抽象規定
(B) 法規命令乃一種法規，在合乎授權明確之要件下對人民有拘束力；行政規則原則上僅對內有拘束力
(C) 法規命令應當有法律授權；行政規則則不需要法律授權
(D) 法規命令無須遵守依法行政原則；行政規則則受法律保留原則之拘束

(D)579. 下列何者屬於行政規則？
(A) 地方稅法通則
(B) 大學法施行細則
(C) 土蛇登記規則
(D) 中央行政機關法制作業應注意事項

(D)580. 為協助下級機關或屬官統一解釋法令、認定事實、及行使裁量權，而訂頒之解釋性規定及裁量基準，在性質上屬於下列何者？
(A) 職權命令
(B) 特別命令
(C) 職務命令
(D) 行政規則

(A)581. 關於行政規則之敘述，下列何者錯誤？
(A) 行政機關訂定之公務員加班時數之限制，屬行政規則，須登載於政府公報
(B) 行政規則須下達下級機關或屬官
(C) 行政規則對行政法院無拘束力
(D) 行政規則之廢止得由發布機關為之

(B)582. 依據行政程序法規定，有關行政規則之敘述，下列敘述何者錯誤？
(A) 得由原發布機關廢止之
(B) 關於機關內部之組織等一般性規定，應由首長簽署，並登載於政府公報發布之
(C) 有效下達之行政規則'具有拘束訂定機關及其下級機關之效力
(D) 為協助下級機關認定事實，而訂頒之解釋性規定

(B)583. 財政部中區國稅局為律定所屬各科、室業務職掌所訂定之規範稱之為何？
(A) 實施細則
(B) 行政規則
(C) 法規命令
(D) 自治條例

(B)584. 為使辦理裁罰機關對違章案件之裁罰金額或倍數有一客觀之標準可資參考，財政部賦稅署爰訂定「稅務違章案件裁罰金額或倍數參考表」供參照。請問「稅務違章案件裁罰金額或倍數參考表」之性質為何？
(A) 法規命令
(B) 行政規則
(C) 自治條例
(D) 組織規程

(D)585. 依行政程序法規定，下列何種行政規則應登載於政府公報發布之？
(A) 機關內部之組織規定
(B) 機關內部之人事管理規定
(C) 機關內部之業務處理方式規定
(D) 為協助下級機關統一解釋法令而訂頒之解釋性規定

(C)586. 依行政程序法規定，衛生福利部有效下達之行政規則，對下列何者有拘束效力？
(A) 行政法院
(B) 行政執行署
(C) 疾病管制署
(D) 內政部

(A)587. 行政計畫有關一定地區土地之特定利用或重大公共設施之擬訂、確定、修tr及廢棄之程序，由下列何機關另定之？
(A) 行政院
(B) 內政部
(C) 立法院
(D) 各縣市政府

(C)588. 依行政程序法之規定，行政機關在其職權或所掌事務範圍內，為實現一定行政目的，以輔導、協助、勸告、建議或其他不具法律上強制力之方法，促請特定人為一定作為或不作為之行為，屬下列何者行政行為？
(A) 行政處分
(B) 行政計畫
(C) 行政指導
(D) 陳情

(A)589. 下列何者非屬行政指導採取之方法？
(A) 命令
(B) 勸告
(C) 協助
(D) 輔導

(C)590. 設政府某稅捐機關公告欄，貼有節能減碳之宣導海報，洽公民眾某甲看到後若有所思，依行政程序法之定義，此宣導為下列何種行政行為？
(A) 行政契約
(B) 對物的一般處分
(C) 行政指導
(D) 陳情

(D)591. 有關行政指導之敘述，下列何者錯誤？
(A) 行政指導實為行政事實行為，不具法效力
(B) 行政指導仍應遵守依法行政原則之要求
(C) 行政指導應遵守明確性原則之要求
(D) 對行政指導當事人無法提起行政救濟

(C)592. 依據行政程序法規定，有關行政指導之敘述下列何者錯誤？
(A) 相對人明確拒絕指導時，行政機關應即停止
(B) 是一種不具法律上強制力之方法
(C) 警察人員對交通違規當事人開立罰單即屬之
(D) 行政機關應明示行政指導之目的、內容、及負責指導者等事項

(C)593. 有關行政指導之敘述，下列何者正確？
(A) 人民不服從行政指導者，得提起撤銷之訴
(B) 以書面為之者，具有法律上拘束力
(C) 相對人明確拒絕行政指導時，行政機關即應停止
(D) 行政機關得對非職權範圍之事務為行政指導

(C)594. 有關行政機關對相對人為行政指導時，下列敘述何者錯誤？
(A) 應明示指導之內容
(B) 相對人明確拒絕指導時，行政機關應即停止
(C) 應以書面明示行政指導之目的，不得以口頭為之
(D) 行政指導不具法律上強制力

(A)595. 依據行政程序法規定，人民之陳情有下列何項情形>受理機關處理時，應不予公開？
(A) 有保密必要者
(B) 有政治動機者
(C) 有關國際交流者
(D) 有損政府威信者

(A)596. 某直轄市政府環境保護主管機關接獲民眾申請社會救助案件時，依行政程序法規定，應為下列如何之處置？
(A) 依職權移送有管轄權之主管機關
(B) 以不具管轄權為由駁回民眾申請
(C) 將事件委託有管轄權之機關辦理
(D) 自行判斷是否符合社會救助之標準

(C)597. 依行政程序法之規定，有關人民陳情案不予處理之敘述，下列何者錯誤？
(A) 無具體之內容
(B) 未具真實姓名或住址
(C) 同一事由尚未予適當處理卻一再陳情
(D) 非主管陳情內容之機關接獲陳情人以同一事由分向各機關陳情者

(B)598. 依照行政程序法規定，關於行政機關處理人民之陳情案，下列何者並非法定得不予處理事由？
(A) 未具真實姓名者
(B) 重要內容不明確者
(C) 同一事由，經予適當處理，並已明確答覆後，而仍一再陳情者
(D) 非主管陳情內容之機關，接獲陳情人以同一事由分向各機關陳情者

(B)599. 有關人民陳情之處理，下列敘述何者錯誤？
(A) 受理機關認為有理由者，應採取適當之措施
(B) 受理機關認為無理由者，無須通知陳情人，得逕自結案
(C) 無具體之內容或未具真實姓名或住址者，受理機關得不予處理
(D) 人民之陳情有保密必要者，受理機關處理時，應不予公開

(A)600. 下列何者非屬行政程序法規定之陳情事由？
(A) 人民對於民意機關立法行為違失之舉發
(B) 人民對於行政上權益之維護
(C) 人民對於行政法令之查詢
(D) 民對於行政興革之建議

(D)601. 下列何者非行政機關得不予處理陳情案件之情形？
(A) 無具體之內容者
(B) 未具真實姓名或住址者
(C) 非主管陳情內容之機關，接獲陳情人以同一事由分向各機關陳情者
(D) 同一事由一再陳情，但尚未處理者

